# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-10-17 14:57:28 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11475560 ELDER C NR BRANSCOMB CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11475560
#            TS   parameter     statistic     Description
#         11694       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	11694_00060_00003	11694_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11475560	1967-10-01	0.90	A
USGS	11475560	1967-10-02	3.90	A
USGS	11475560	1967-10-03	2.80	A
USGS	11475560	1967-10-04	2.00	A
USGS	11475560	1967-10-05	3.30	A
USGS	11475560	1967-10-06	2.90	A
USGS	11475560	1967-10-07	2.50	A
USGS	11475560	1967-10-08	2.30	A
USGS	11475560	1967-10-09	2.20	A
USGS	11475560	1967-10-10	1.80	A
USGS	11475560	1967-10-11	1.80	A
USGS	11475560	1967-10-12	1.70	A
USGS	11475560	1967-10-13	1.60	A
USGS	11475560	1967-10-14	1.50	A
USGS	11475560	1967-10-15	1.50	A
USGS	11475560	1967-10-16	1.40	A
USGS	11475560	1967-10-17	1.30	A
USGS	11475560	1967-10-18	1.30	A
USGS	11475560	1967-10-19	1.20	A
USGS	11475560	1967-10-20	1.20	A
USGS	11475560	1967-10-21	3.10	A
USGS	11475560	1967-10-22	3.10	A
USGS	11475560	1967-10-23	2.80	A
USGS	11475560	1967-10-24	2.40	A
USGS	11475560	1967-10-25	2.30	A
USGS	11475560	1967-10-26	2.20	A
USGS	11475560	1967-10-27	2.20	A
USGS	11475560	1967-10-28	2.30	A
USGS	11475560	1967-10-29	2.30	A
USGS	11475560	1967-10-30	2.30	A
USGS	11475560	1967-10-31	2.20	A
USGS	11475560	1967-11-01	2.20	A
USGS	11475560	1967-11-02	2.20	A
USGS	11475560	1967-11-03	2.20	A
USGS	11475560	1967-11-04	2.20	A
USGS	11475560	1967-11-05	2.20	A
USGS	11475560	1967-11-06	2.20	A
USGS	11475560	1967-11-07	2.20	A
USGS	11475560	1967-11-08	2.70	A
USGS	11475560	1967-11-09	2.70	A
USGS	11475560	1967-11-10	2.60	A
USGS	11475560	1967-11-11	2.40	A
USGS	11475560	1967-11-12	2.40	A
USGS	11475560	1967-11-13	2.60	A
