# ---------------------------------- WARNING ----------------------------------------				
# The data you have obtained from this automated U.S. Geological Survey database				
# have not received Director's approval and as such are provisional and subject to				
# revision.  The data are released on the condition that neither the USGS nor the				
# United States Government may be held liable for any damages resulting from its use.				
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement				
#				
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output				
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals				
#				
# Contact:   gs-w_support_nwisweb@usgs.gov				
# retrieved: 2014-10-08 01:54:04 EDT       (caww01)				
#				
# Data for the following 1 site(s) are contained in this file				
#    USGS 11472200 OUTLET C NR LONGVALE CA				
# -----------------------------------------------------------------------------------				
#				
# Data provided for site 11472200				
#    DD parameter statistic   Description				
"#    02   00060     00003     Discharge, cubic feet per second (Mean)"				
#				
# Data-value qualification codes included in this output: 				
#     A  Approved for publication -- Processing and review completed.  				
#     e  Value has been estimated.  				
# 				
agenc	y_cd       site_no	datetime	02_00060	_00003  02_00060_00003_cd
5s	15s     20d	14n     10s		
USGS	11472200	10/1/56	4	A
USGS	11472200	10/2/56	4.2	A
USGS	11472200	10/3/56	4.2	A
USGS	11472200	10/4/56	4.2	A
USGS	11472200	10/5/56	4	A
USGS	11472200	10/6/56	4	A
USGS	11472200	10/7/56	4.8	A
USGS	11472200	10/8/56	5.2	A
USGS	11472200	10/9/56	5.2	A
USGS	11472200	10/10/56	5.6	A
USGS	11472200	10/11/56	6.6	A
USGS	11472200	10/12/56	7	A
USGS	11472200	10/13/56	6.6	A
USGS	11472200	10/14/56	7	A
USGS	11472200	10/15/56	6.2	A
USGS	11472200	10/16/56	6.2	A
USGS	11472200	10/17/56	6.6	A
USGS	11472200	10/18/56	6.6	A
USGS	11472200	10/19/56	5.9	A
USGS	11472200	10/20/56	5.9	A
USGS	11472200	10/21/56	5.9	A
USGS	11472200	10/22/56	6.2	A
USGS	11472200	10/23/56	7.6	A
USGS	11472200	10/24/56	8	A
USGS	11472200	10/25/56	9.2	A
USGS	11472200	10/26/56	16	A
USGS	11472200	10/27/56	37	A
USGS	11472200	10/28/56	32	A
USGS	11472200	10/29/56	42	A
USGS	11472200	10/30/56	1870	A
USGS	11472200	10/31/56	692	A
USGS	11472200	11/1/56	287	A
USGS	11472200	11/2/56	192	A
USGS	11472200	11/3/56	106	A
USGS	11472200	11/4/56	72	A
USGS	11472200	11/5/56	55	A
USGS	11472200	11/6/56	46	A
USGS	11472200	11/7/56	38	A
USGS	11472200	11/8/56	33	A
USGS	11472200	11/9/56	30	A
USGS	11472200	11/10/56	27	A
USGS	11472200	11/11/56	24	A
USGS	11472200	11/12/56	22	A
USGS	11472200	11/13/56	22	A
USGS	11472200	11/14/56	20	A
USGS	11472200	11/15/56	18	A
USGS	11472200	11/16/56	17	A
USGS	11472200	11/17/56	17	A
USGS	11472200	11/18/56	16	A
USGS	11472200	11/19/56	16	A
USGS	11472200	11/20/56	16	A
USGS	11472200	11/21/56	15	A
USGS	11472200	11/22/56	15	A
USGS	11472200	11/23/56	14	A
USGS	11472200	11/24/56	13	A
USGS	11472200	11/25/56	13	A
USGS	11472200	11/26/56	13	A
USGS	11472200	11/27/56	13	A
USGS	11472200	11/28/56	13	A
USGS	11472200	11/29/56	13	A
USGS	11472200	11/30/56	13	A
USGS	11472200	12/1/56	12	A
USGS	11472200	12/2/56	12	A
USGS	11472200	12/3/56	12	A
USGS	11472200	12/4/56	13	A
USGS	11472200	12/5/56	18	A
USGS	11472200	12/6/56	47	A
USGS	11472200	12/7/56	46	A
USGS	11472200	12/8/56	36	A
USGS	11472200	12/9/56	29	A
USGS	11472200	12/10/56	26	A
USGS	11472200	12/11/56	71	A
USGS	11472200	12/12/56	94	A
USGS	11472200	12/13/56	72	A
USGS	11472200	12/14/56	58	A
USGS	11472200	12/15/56	47	A
USGS	11472200	12/16/56	40	A
USGS	11472200	12/17/56	36	A
USGS	11472200	12/18/56	33	A
USGS	11472200	12/19/56	30	A
USGS	11472200	12/20/56	27	A
USGS	11472200	12/21/56	26	A
USGS	11472200	12/22/56	25	A
USGS	11472200	12/23/56	24	A
USGS	11472200	12/24/56	22	A
USGS	11472200	12/25/56	20	A
USGS	11472200	12/26/56	19	A
USGS	11472200	12/27/56	18	A
USGS	11472200	12/28/56	17	A
USGS	11472200	12/29/56	17	A
USGS	11472200	12/30/56	17	A
USGS	11472200	12/31/56	17	A
USGS	11472200	1/1/57	16	A
USGS	11472200	1/2/57	16	A
USGS	11472200	1/3/57	15	A
USGS	11472200	1/4/57	15	A
USGS	11472200	1/5/57	16	A
USGS	11472200	1/6/57	14	A
USGS	11472200	1/7/57	13	A
USGS	11472200	1/8/57	21	A
USGS	11472200	1/9/57	44	A
USGS	11472200	1/10/57	36	A
USGS	11472200	1/11/57	312	A
USGS	11472200	1/12/57	1240	A
USGS	11472200	1/13/57	1880	A
USGS	11472200	1/14/57	2000	A
USGS	11472200	1/15/57	1670	A
USGS	11472200	1/16/57	639	A
USGS	11472200	1/17/57	311	A
USGS	11472200	1/18/57	224	A
USGS	11472200	1/19/57	763	A
USGS	11472200	1/20/57	4230	A
USGS	11472200	1/21/57	1750	A
USGS	11472200	1/22/57	674	A
USGS	11472200	1/23/57	364	A
USGS	11472200	1/24/57	263	A
USGS	11472200	1/25/57	239	A
USGS	11472200	1/26/57	192	A
USGS	11472200	1/27/57	139	A
USGS	11472200	1/28/57	112	A
USGS	11472200	1/29/57	100	A
USGS	11472200	1/30/57	85	A
USGS	11472200	1/31/57	78	A
USGS	11472200	2/1/57	87	A
USGS	11472200	2/2/57	217	A
USGS	11472200	2/3/57	114	A
USGS	11472200	2/4/57	92	A
USGS	11472200	2/5/57	81	A
USGS	11472200	2/6/57	72	A
USGS	11472200	2/7/57	83	A
USGS	11472200	2/8/57	303	A
USGS	11472200	2/9/57	263	A
USGS	11472200	2/10/57	161	A
USGS	11472200	2/11/57	126	A
USGS	11472200	2/12/57	106	A
USGS	11472200	2/13/57	102	A
USGS	11472200	2/14/57	96	A
USGS	11472200	2/15/57	85	A
USGS	11472200	2/16/57	74	A
USGS	11472200	2/17/57	68	A
USGS	11472200	2/18/57	60	A
USGS	11472200	2/19/57	58	A
USGS	11472200	2/20/57	59	A
USGS	11472200	2/21/57	558	A
USGS	11472200	2/22/57	515	A
USGS	11472200	2/23/57	4980	A
USGS	11472200	2/24/57	9160	A
USGS	11472200	2/25/57	5250	A
USGS	11472200	2/26/57	4740	A
USGS	11472200	2/27/57	2830	A
USGS	11472200	2/28/57	1490	A
USGS	11472200	3/1/57	800	A
USGS	11472200	3/2/57	574	A
USGS	11472200	3/3/57	999	A
USGS	11472200	3/4/57	2350	A
USGS	11472200	3/5/57	4540	A
USGS	11472200	3/6/57	3330	A
USGS	11472200	3/7/57	1960	A
USGS	11472200	3/8/57	1080	A
USGS	11472200	3/9/57	1520	A
USGS	11472200	3/10/57	954	A
USGS	11472200	3/11/57	1360	A
USGS	11472200	3/12/57	3760	A
USGS	11472200	3/13/57	2200	A
USGS	11472200	3/14/57	1200	A
USGS	11472200	3/15/57	1340	A
USGS	11472200	3/16/57	1240	A
USGS	11472200	3/17/57	954	A
USGS	11472200	3/18/57	735	A
USGS	11472200	3/19/57	570	A
USGS	11472200	3/20/57	458	A
USGS	11472200	3/21/57	373	A
USGS	11472200	3/22/57	315	A
USGS	11472200	3/23/57	268	A
USGS	11472200	3/24/57	238	A
USGS	11472200	3/25/57	220	A
USGS	11472200	3/26/57	202	A
USGS	11472200	3/27/57	180	A
USGS	11472200	3/28/57	163	A
USGS	11472200	3/29/57	433	A
USGS	11472200	3/30/57	449	A
USGS	11472200	3/31/57	429	A
USGS	11472200	4/1/57	315	A
USGS	11472200	4/2/57	244	A
USGS	11472200	4/3/57	209	A
USGS	11472200	4/4/57	185	A
USGS	11472200	4/5/57	163	A
USGS	11472200	4/6/57	147	A
USGS	11472200	4/7/57	134	A
USGS	11472200	4/8/57	121	A
USGS	11472200	4/9/57	115	A
USGS	11472200	4/10/57	104	A
USGS	11472200	4/11/57	99	A
USGS	11472200	4/12/57	115	A
USGS	11472200	4/13/57	189	A
USGS	11472200	4/14/57	1630	A
USGS	11472200	4/15/57	530	A
USGS	11472200	4/16/57	501	A
USGS	11472200	4/17/57	931	A
USGS	11472200	4/18/57	966	A
USGS	11472200	4/19/57	578	A
USGS	11472200	4/20/57	429	A
USGS	11472200	4/21/57	342	A
USGS	11472200	4/22/57	285	A
USGS	11472200	4/23/57	244	A
USGS	11472200	4/24/57	209	A
USGS	11472200	4/25/57	182	A
USGS	11472200	4/26/57	163	A
USGS	11472200	4/27/57	145	A
USGS	11472200	4/28/57	130	A
USGS	11472200	4/29/57	119	A
USGS	11472200	4/30/57	109	A
USGS	11472200	5/1/57	109	A
USGS	11472200	5/2/57	404	A
USGS	11472200	5/3/57	207	A
USGS	11472200	5/4/57	147	A
USGS	11472200	5/5/57	121	A
USGS	11472200	5/6/57	106	A
USGS	11472200	5/7/57	99	A
USGS	11472200	5/8/57	102	A
USGS	11472200	5/9/57	138	A
USGS	11472200	5/10/57	175	A
USGS	11472200	5/11/57	132	A
USGS	11472200	5/12/57	130	A
USGS	11472200	5/13/57	126	A
USGS	11472200	5/14/57	141	A
USGS	11472200	5/15/57	126	A
USGS	11472200	5/16/57	102	A
USGS	11472200	5/17/57	394	A
USGS	11472200	5/18/57	3480	A
USGS	11472200	5/19/57	2680	A
USGS	11472200	5/20/57	1660	A
USGS	11472200	5/21/57	972	A
USGS	11472200	5/22/57	637	A
USGS	11472200	5/23/57	458	A
USGS	11472200	5/24/57	348	A
USGS	11472200	5/25/57	285	A
USGS	11472200	5/26/57	241	A
USGS	11472200	5/27/57	207	A
USGS	11472200	5/28/57	180	A
USGS	11472200	5/29/57	156	A
USGS	11472200	5/30/57	141	A
USGS	11472200	5/31/57	126	A
USGS	11472200	6/1/57	113	A
USGS	11472200	6/2/57	100	A
USGS	11472200	6/3/57	92	A
USGS	11472200	6/4/57	85	A
USGS	11472200	6/5/57	76	A
USGS	11472200	6/6/57	73	A
USGS	11472200	6/7/57	69	A
USGS	11472200	6/8/57	64	A
USGS	11472200	6/9/57	60	A
USGS	11472200	6/10/57	55	A
USGS	11472200	6/11/57	51	A
USGS	11472200	6/12/57	48	A
USGS	11472200	6/13/57	46	A
USGS	11472200	6/14/57	44	A
USGS	11472200	6/15/57	40	A
USGS	11472200	6/16/57	39	A
USGS	11472200	6/17/57	37	A
USGS	11472200	6/18/57	34	A
USGS	11472200	6/19/57	32	A
USGS	11472200	6/20/57	29	A
USGS	11472200	6/21/57	27	A
USGS	11472200	6/22/57	25	A
USGS	11472200	6/23/57	24	A
USGS	11472200	6/24/57	22	A
USGS	11472200	6/25/57	20	A
USGS	11472200	6/26/57	19	A
USGS	11472200	6/27/57	18	A
USGS	11472200	6/28/57	16	A
USGS	11472200	6/29/57	16	A
USGS	11472200	6/30/57	15	A
USGS	11472200	7/1/57	15	A
USGS	11472200	7/2/57	14	A
USGS	11472200	7/3/57	14	A
USGS	11472200	7/4/57	13	A
USGS	11472200	7/5/57	12	A
USGS	11472200	7/6/57	11	A
USGS	11472200	7/7/57	10	A
USGS	11472200	7/8/57	10	A
USGS	11472200	7/9/57	8	A
USGS	11472200	7/10/57	8.3	A
USGS	11472200	7/11/57	8.3	A
USGS	11472200	7/12/57	8.3	A
USGS	11472200	7/13/57	8.3	A
USGS	11472200	7/14/57	8.7	A
USGS	11472200	7/15/57	8.7	A
USGS	11472200	7/16/57	8.3	A
USGS	11472200	7/17/57	8.3	A
USGS	11472200	7/18/57	7.6	A
USGS	11472200	7/19/57	7.3	A
USGS	11472200	7/20/57	6.9	A
USGS	11472200	7/21/57	6.9	A
USGS	11472200	7/22/57	6.9	A
USGS	11472200	7/23/57	6.6	A
USGS	11472200	7/24/57	6.3	A
USGS	11472200	7/25/57	5.7	A
USGS	11472200	7/26/57	5.7	A
USGS	11472200	7/27/57	5.4	A
USGS	11472200	7/28/57	5	A
USGS	11472200	7/29/57	5	A
USGS	11472200	7/30/57	4.5	A
USGS	11472200	7/31/57	4	A
USGS	11472200	8/1/57	4	A
USGS	11472200	8/2/57	3.5	A
USGS	11472200	8/3/57	3.5	A
USGS	11472200	8/4/57	3	A
USGS	11472200	8/5/57	2.8	A
USGS	11472200	8/6/57	2.6	A
USGS	11472200	8/7/57	2.6	A
USGS	11472200	8/8/57	2.6	A
USGS	11472200	8/9/57	3	A
USGS	11472200	8/10/57	2.3	A
USGS	11472200	8/11/57	1.5	A
USGS	11472200	8/12/57	1.5	A
USGS	11472200	8/13/57	1.5	A
USGS	11472200	8/14/57	1.2	A
USGS	11472200	8/15/57	1.5	A
USGS	11472200	8/16/57	1.2	A
USGS	11472200	8/17/57	1	A
USGS	11472200	8/18/57	0.8	A
USGS	11472200	8/19/57	0.8	A
USGS	11472200	8/20/57	1	A
USGS	11472200	8/21/57	0.8	A
USGS	11472200	8/22/57	0.6	A
USGS	11472200	8/23/57	0.6	A
USGS	11472200	8/24/57	0.5	A
USGS	11472200	8/25/57	0.6	A
USGS	11472200	8/26/57	0.6	A
USGS	11472200	8/27/57	0.6	A
USGS	11472200	8/28/57	0.6	A
USGS	11472200	8/29/57	0.6	A
USGS	11472200	8/30/57	0.6	A
USGS	11472200	8/31/57	0.6	A
USGS	11472200	9/1/57	0.8	A
USGS	11472200	9/2/57	0.6	A
USGS	11472200	9/3/57	0.4	A
USGS	11472200	9/4/57	0.5	A
USGS	11472200	9/5/57	0.8	A
USGS	11472200	9/6/57	1.2	A
USGS	11472200	9/7/57	1	A
USGS	11472200	9/8/57	1	A
USGS	11472200	9/9/57	0.8	A
USGS	11472200	9/10/57	1	A
USGS	11472200	9/11/57	1.5	A
USGS	11472200	9/12/57	1.8	A
USGS	11472200	9/13/57	1.8	A
USGS	11472200	9/14/57	1.8	A
USGS	11472200	9/15/57	2	A
USGS	11472200	9/16/57	2.3	A
USGS	11472200	9/17/57	2.3	A
USGS	11472200	9/18/57	1.8	A
USGS	11472200	9/19/57	1.8	A
USGS	11472200	9/20/57	1.8	A
USGS	11472200	9/21/57	0.6	A
USGS	11472200	9/22/57	0.6	A
USGS	11472200	9/23/57	1.2	A
USGS	11472200	9/24/57	1	A
USGS	11472200	9/25/57	1	A
USGS	11472200	9/26/57	6.2	A
USGS	11472200	9/27/57	108	A
USGS	11472200	9/28/57	69	A
USGS	11472200	9/29/57	35	A
USGS	11472200	9/30/57	69	A
USGS	11472200	10/1/57	55	A
USGS	11472200	10/2/57	29	A
USGS	11472200	10/3/57	19	A
USGS	11472200	10/4/57	16	A
USGS	11472200	10/5/57	64	A
USGS	11472200	10/6/57	72	A
USGS	11472200	10/7/57	80	A
USGS	11472200	10/8/57	52	A
USGS	11472200	10/9/57	1200	A
USGS	11472200	10/10/57	984	A
USGS	11472200	10/11/57	468	A
USGS	11472200	10/12/57	694	A
USGS	11472200	10/13/57	4190	A
USGS	11472200	10/14/57	1420	A
USGS	11472200	10/15/57	500	A
USGS	11472200	10/16/57	257	A
USGS	11472200	10/17/57	173	A
USGS	11472200	10/18/57	132	A
USGS	11472200	10/19/57	106	A
USGS	11472200	10/20/57	87	A
USGS	11472200	10/21/57	75	A
USGS	11472200	10/22/57	66	A
USGS	11472200	10/23/57	213	A
USGS	11472200	10/24/57	322	A
USGS	11472200	10/25/57	671	A
USGS	11472200	10/26/57	400	A
USGS	11472200	10/27/57	257	A
USGS	11472200	10/28/57	188	A
USGS	11472200	10/29/57	153	A
USGS	11472200	10/30/57	128	A
USGS	11472200	10/31/57	110	A
USGS	11472200	11/1/57	97	A
USGS	11472200	11/2/57	82	A
USGS	11472200	11/3/57	73	A
USGS	11472200	11/4/57	68	A
USGS	11472200	11/5/57	62	A
USGS	11472200	11/6/57	56	A
USGS	11472200	11/7/57	55	A
USGS	11472200	11/8/57	68	A
USGS	11472200	11/9/57	72	A
USGS	11472200	11/10/57	163	A
USGS	11472200	11/11/57	214	A
USGS	11472200	11/12/57	177	A
USGS	11472200	11/13/57	4260	A
USGS	11472200	11/14/57	4010	A
USGS	11472200	11/15/57	1700	A
USGS	11472200	11/16/57	736	A
USGS	11472200	11/17/57	437	A
USGS	11472200	11/18/57	641	A
USGS	11472200	11/19/57	509	A
USGS	11472200	11/20/57	397	A
USGS	11472200	11/21/57	319	A
USGS	11472200	11/22/57	260	A
USGS	11472200	11/23/57	220	A
USGS	11472200	11/24/57	192	A
USGS	11472200	11/25/57	173	A
USGS	11472200	11/26/57	158	A
USGS	11472200	11/27/57	143	A
USGS	11472200	11/28/57	125	A
USGS	11472200	11/29/57	113	A
USGS	11472200	11/30/57	106	A
USGS	11472200	12/1/57	97	A
USGS	11472200	12/2/57	91	A
USGS	11472200	12/3/57	85	A
USGS	11472200	12/4/57	80	A
USGS	11472200	12/5/57	80	A
USGS	11472200	12/6/57	76	A
USGS	11472200	12/7/57	72	A
USGS	11472200	12/8/57	69	A
USGS	11472200	12/9/57	66	A
USGS	11472200	12/10/57	65	A
USGS	11472200	12/11/57	62	A
USGS	11472200	12/12/57	61	A
USGS	11472200	12/13/57	59	A
USGS	11472200	12/14/57	58	A
USGS	11472200	12/15/57	163	A
USGS	11472200	12/16/57	1080	A
USGS	11472200	12/17/57	3030	A
USGS	11472200	12/18/57	3170	A
USGS	11472200	12/19/57	2690	A
USGS	11472200	12/20/57	2170	A
USGS	11472200	12/21/57	4440	A
USGS	11472200	12/22/57	2650	A
USGS	11472200	12/23/57	2210	A
USGS	11472200	12/24/57	1540	A
USGS	11472200	12/25/57	1090	A
USGS	11472200	12/26/57	1070	A
USGS	11472200	12/27/57	818	A
USGS	11472200	12/28/57	3660	A
USGS	11472200	12/29/57	2260	A
USGS	11472200	12/30/57	1200	A
USGS	11472200	12/31/57	541	A
USGS	11472200	1/1/58	709	A
USGS	11472200	1/2/58	1600	A
USGS	11472200	1/3/58	873	A
USGS	11472200	1/4/58	645	A
USGS	11472200	1/5/58	509	A
USGS	11472200	1/6/58	422	A
USGS	11472200	1/7/58	372	A
USGS	11472200	1/8/58	375	A
USGS	11472200	1/9/58	530	A
USGS	11472200	1/10/58	2690	A
USGS	11472200	1/11/58	1840	A
USGS	11472200	1/12/58	3220	A
USGS	11472200	1/13/58	2370	A
USGS	11472200	1/14/58	1290	A
USGS	11472200	1/15/58	914	A
USGS	11472200	1/16/58	754	A
USGS	11472200	1/17/58	609	A
USGS	11472200	1/18/58	500	A
USGS	11472200	1/19/58	428	A
USGS	11472200	1/20/58	403	A
USGS	11472200	1/21/58	372	A
USGS	11472200	1/22/58	329	A
USGS	11472200	1/23/58	791	A
USGS	11472200	1/24/58	1710	A
USGS	11472200	1/25/58	1730	A
USGS	11472200	1/26/58	3760	A
USGS	11472200	1/27/58	2140	A
USGS	11472200	1/28/58	1800	A
USGS	11472200	1/29/58	6630	A
USGS	11472200	1/30/58	4220	A
USGS	11472200	1/31/58	2380	A
USGS	11472200	2/1/58	1330	A
USGS	11472200	2/2/58	2980	A
USGS	11472200	2/3/58	4680	A
USGS	11472200	2/4/58	4090	A
USGS	11472200	2/5/58	3520	A
USGS	11472200	2/6/58	2270	A
USGS	11472200	2/7/58	3280	A
USGS	11472200	2/8/58	3080	A
USGS	11472200	2/9/58	4860	A
USGS	11472200	2/10/58	3530	A
USGS	11472200	2/11/58	3780	A
USGS	11472200	2/12/58	9650	A
USGS	11472200	2/13/58	4270	A
USGS	11472200	2/14/58	5110	A
USGS	11472200	2/15/58	4830	A
USGS	11472200	2/16/58	3480	A
USGS	11472200	2/17/58	3280	A
USGS	11472200	2/18/58	5410	A
USGS	11472200	2/19/58	5280	A
USGS	11472200	2/20/58	3000	A
USGS	11472200	2/21/58	1760	A
USGS	11472200	2/22/58	1190	A
USGS	11472200	2/23/58	1010	A
USGS	11472200	2/24/58	8880	A
USGS	11472200	2/25/58	7340	A
USGS	11472200	2/26/58	4000	A
USGS	11472200	2/27/58	2220	A
USGS	11472200	2/28/58	1220	A
USGS	11472200	3/1/58	836	A
USGS	11472200	3/2/58	668	A
USGS	11472200	3/3/58	541	A
USGS	11472200	3/4/58	446	A
USGS	11472200	3/5/58	386	A
USGS	11472200	3/6/58	347	A
USGS	11472200	3/7/58	305	A
USGS	11472200	3/8/58	302	A
USGS	11472200	3/9/58	276	A
USGS	11472200	3/10/58	240	A
USGS	11472200	3/11/58	221	A
USGS	11472200	3/12/58	198	A
USGS	11472200	3/13/58	176	A
USGS	11472200	3/14/58	192	A
USGS	11472200	3/15/58	376	A
USGS	11472200	3/16/58	257	A
USGS	11472200	3/17/58	192	A
USGS	11472200	3/18/58	167	A
USGS	11472200	3/19/58	159	A
USGS	11472200	3/20/58	763	A
USGS	11472200	3/21/58	2840	A
USGS	11472200	3/22/58	2670	A
USGS	11472200	3/23/58	2210	A
USGS	11472200	3/24/58	2020	A
USGS	11472200	3/25/58	2530	A
USGS	11472200	3/26/58	1620	A
USGS	11472200	3/27/58	932	A
USGS	11472200	3/28/58	705	A
USGS	11472200	3/29/58	2380	A
USGS	11472200	3/30/58	3580	A
