,ET (cm/day),runoff (cm/day)
1985-01-01,0.007167083356274392,0.23380356358410323
1985-01-02,0.00772093714754066,0.11819792534564226
1985-01-03,0.0069670798724448075,0.061086469450970605
1985-01-04,0.00714768683657421,0.03284204587904399
1985-01-05,0.006817640826366239,0.018859247705692646
1985-01-06,0.006686589670871705,0.01192632554234944
1985-01-07,0.008777294180599646,0.008479389852786097
1985-01-08,0.008779136130072586,0.00675651978407759
1985-01-09,0.008630991499160147,0.005886475437797392
1985-01-10,0.012335513666013745,0.005438398689808957
1985-01-11,0.012139424034117092,0.00519920342195331
1985-01-12,0.0126937991395737,0.0050635014097954265
1985-01-13,0.012395913993782428,0.004979167779238147
1985-01-14,0.012598142623419323,0.004920420212839391
1985-01-15,0.011540748294461676,0.004874504817221356
1985-01-16,0.013545954135164165,0.004835111307056066
1985-01-17,0.01754184335373024,0.00479911630906096
1985-01-18,0.014814727150842442,0.0047649726711219975
1985-01-19,0.013176301413157046,0.004731912848228362
1985-01-20,0.013419421602663137,0.004699554913188143
1985-01-21,0.014481103189673328,0.004667707697031148
1985-01-22,0.011748281535922452,0.004636274414770545
1985-01-23,0.011831645475146285,0.004605204999960666
1985-01-24,0.012732705311091308,0.004574472529610088
1985-01-25,0.012499643284069106,0.004544061563688311
1985-01-26,0.012209574099746788,0.004513962377352244
1985-01-27,0.015591442487446887,0.004484168107601945
1985-01-28,0.01507867182382134,0.004454673341366694
1985-01-29,0.01414553040348006,0.004425473416507588
1985-01-30,0.015951379993080345,0.004396564075429255
1985-01-31,0.01537435818401364,0.004367941293100059
1985-02-01,0.015364833900870277,0.004339601191346335
1985-02-02,0.011865719760213797,0.004311539995830875
1985-02-03,0.013622971650155932,0.004283754014156782
1985-02-04,0.01420407432042897,0.004256239624433702
1985-02-05,0.015329437147546419,0.004228993269032467
1985-02-06,0.01626668366834498,0.004202011450919316
1985-02-07,0.016155854804356107,0.004783613831526235
1985-02-08,0.03542658182132037,0.05501421898644382
1985-02-09,0.05595977899021357,0.17943441413357916
1985-02-10,0.06258139298866289,0.16577620387118527
1985-02-11,0.0688933121436906,0.08650870522488152
1985-02-12,0.05384304023825883,0.05431077631653114
1985-02-13,0.09080075191391146,0.03957095503682009
1985-02-14,0.09662075949796504,0.024180496549746494
1985-02-15,0.09767705870637988,0.016526107690262443
1985-02-16,0.08840142133186467,0.012697431511983411
1985-02-17,0.10052241273283029,0.010761283665306773
1985-02-18,0.12023363433220961,0.009761716601884412
1985-02-19,0.11146209370612598,0.009225960149601415
1985-02-20,0.09966499323943763,0.0089201839253667
1985-02-21,0.09830992138053223,0.008728727670731006
1985-02-22,0.11479114483227677,0.008594375928230407
1985-02-23,0.10998649678807519,0.00848881968316069
1985-02-24,0.12616329756997238,0.008398047127267699
1985-02-25,0.11528354885709075,0.008315118037178328
1985-02-26,0.11032725860360437,0.008236590007338021
1985-02-27,0.10807369027581486,0.008160750869100638
1985-02-28,0.15943370689868708,0.008086744443415438
1985-03-01,0.13088789945213833,0.008014138134249301
1985-03-02,0.08240763486181939,0.007942709055621998
1985-03-03,0.09284314945441237,0.007872338245034645
1985-03-04,0.11705153538932073,0.0078029583363238035
1985-03-05,0.08235854488986914,0.023006220094057936
1985-03-06,0.0599332995773261,0.054713663792152846
1985-03-07,0.0696398827196189,0.08687315406293988
1985-03-08,0.101675466579703,0.08200829555535237
1985-03-09,0.1385640157926211,0.05459026625726104
1985-03-10,0.13635269906745337,0.06213665717226291
1985-03-11,0.13104085878507052,0.08042012566961365
1985-03-12,0.12375248069121231,0.06453894835019386
1985-03-13,0.1478200723121356,0.03827464203974227
1985-03-14,0.1796985483624031,0.025217118783694814
1985-03-15,0.17357943612843318,0.018689599354028714
1985-03-16,0.1878577833448706,0.01539226215362373
1985-03-17,0.11306581568631519,0.013693578834869246
1985-03-18,0.15223953978239846,0.012786698603133256
1985-03-19,0.18338249359135972,0.012272552127094079
1985-03-20,0.16652047380165233,0.011953737681379695
1985-03-21,0.1851747371043234,0.01173259549641043
1985-03-22,0.14402437058320902,0.011560798827773347
1985-03-23,0.1555525302112784,0.011414422085701008
1985-03-24,0.13889677043263352,0.03501623538742995
1985-03-25,0.13856212655880915,0.08173763475732308
1985-03-26,0.1359175962105196,0.07384293842693472
1985-03-27,0.06436426036175662,0.15514463389829405
1985-03-28,0.12309816454208417,0.29360079693700203
1985-03-29,0.14268649038532605,0.2867184661504172
1985-03-30,0.21687960199360534,0.19007205871934105
1985-03-31,0.27213660602151474,0.10846371899515861
1985-04-01,0.2905233646842427,0.06789083369048667
1985-04-02,0.34253951972198804,0.047588360241815564
1985-04-03,0.38556398909119505,0.03731109354728956
1985-04-04,0.28993590794911417,0.03199719855980536
1985-04-05,0.3143144539826786,0.029143992298754428
1985-04-06,0.380402769914598,0.027513587272086623
1985-04-07,0.25301878654615595,0.0264935048624567
1985-04-08,0.27325299459854047,0.02578059435176963
1985-04-09,0.318520175058391,0.02522472051480512
1985-04-10,0.3190134372872053,0.024751447995863003
1985-04-11,0.25237796028920884,0.02432379583054232
1985-04-12,0.260023361433725,0.023923317773943093
1985-04-13,0.32546108857707934,0.02354074261832507
1985-04-14,0.35668353659544083,0.023171343735532552
1985-04-15,0.2751819595534552,0.022812648149531364
1985-04-16,0.1567149429850702,0.02246330297609971
1985-04-17,0.17707118352631943,0.02212251441873211
1985-04-18,0.18806898169077516,0.02178977001670841
1985-04-19,0.21450842178217822,0.02146470102751573
1985-04-20,0.17682630087109277,0.021147014143594784
1985-04-21,0.15661816478055332,0.020836457518632945
1985-04-22,0.18686867287171807,0.02053280377641856
1985-04-23,0.24256317355282417,0.020235841430238728
1985-04-24,0.24851135177547704,0.01994537047182
1985-04-25,0.2218104172146059,0.01966120003134117
1985-04-26,0.21797658729591887,0.0193831470699555
1985-04-27,0.26138846309694547,0.019111035590608668
1985-04-28,0.25971053417311024,0.01884469611235288
1985-04-29,0.2623111830578959,0.018583965281711107
1985-04-30,0.2992912502235338,0.018328685558164467
1985-05-01,0.33160272568323457,0.018078704942280945
