,area_sqcm,area_sqkm,climate_group,elev_drop,elevation,flow_accum,gradient,group,interception_factor,length,next_stream,out_dist,parameter_group,prev_str01,prev_str02,shreve,strahler,upstream_area
1,49819160000.0,4.981916,1.0,26998.6938,921,10876.091087,0.110864,"(1, 1.0)",0.4,243529.90350000001,33,12349759.8013,1,0,0,1,1,49819160000.0
2,55191270000.0,5.519127,2.0,14658.3191,897,7363.537299,0.09488400000000001,"(2, 2.0)",0.1,154485.92529999997,18,7731642.7624,2,0,0,1,1,55191270000.0
3,147332320000.0,14.733232000000001,3.0,32302.2125,623,20477.637137,0.07005700000000001,"(2, 3.0)",0.1,461084.60329999996,123,11064762.8838,2,0,0,1,1,147332320000.0
4,35855860000.0,3.585586,4.0,15708.325200000001,981,9220.997272,0.14889000000000002,"(1, 4.0)",0.4,105503.08619999999,33,12211732.984000001,1,0,0,1,1,35855860000.0
5,123976540000.0,12.397654,5.0,24157.736200000003,646,11317.252611,0.037272,"(1, 5.0)",0.4,648149.6799000001,68,13777913.1076,1,0,0,1,1,123976540000.0
6,41409129999.99999,4.140912999999999,6.0,24925.4333,973,4111.251459,0.156813,"(1, 6.0)",0.4,158950.5026,80,9780061.1728,1,0,0,1,1,41409129999.99999
7,33110580000.0,3.311058,7.0,6737.7075,935,3612.831603,0.104676,"(2, 7.0)",0.1,64367.1017,18,7641523.9387,2,0,0,1,1,33110580000.0
8,86392690000.0,8.639269,8.0,7275.415,801,12470.685397,0.038183,"(2, 8.0)",0.1,190538.4275,23,7696248.5718,2,0,0,1,1,86392690000.0
9,70102179999.99998,7.010217999999999,9.0,13064.8682,790,14655.326711000002,0.046658,"(1, 9.0)",0.4,280011.13690000004,46,14084177.932500001,1,0,0,1,1,70102179999.99998
10,132372640000.00002,13.237264000000001,10.0,18778.1952,672,18988.197109,0.032174,"(1, 10.0)",0.4,583636.0843,70,13752639.844000002,1,0,0,1,1,132372640000.00002
11,107999580000.0,10.799958,11.0,12397.3328,744,15317.921941,0.025949,"(2, 11.0)",0.1,477755.9340999999,44,14611351.4841,2,0,0,1,1,107999580000.0
13,128373170000.0,12.837317,13.0,8429.8523,639,23391.559716,0.018997999999999998,"(2, 13.0)",0.1,443713.6144,32,10434311.8838,2,0,0,1,1,128373170000.0
14,27578210000.0,2.757821,14.0,10443.377700000001,846,40104.869795,0.167954,"(2, 14.0)",0.1,62179.8807,42,7323537.907000001,2,0,0,1,1,27578210000.0
15,49833089999.99999,4.983308999999999,15.0,3804.8035,944,7181.962524,0.080085,"(1, 15.0)",0.4,47509.3499,23,7553219.494200001,1,0,0,1,1,49833089999.99999
16,75035320000.0,7.503532000000001,16.0,20858.1604,668,9831.116316,0.051803999999999996,"(2, 16.0)",0.1,402635.8647999999,116,12466062.8311,2,0,0,1,1,75035320000.0
18,33730710000.0,3.373071,18.0,6299.3958,688,20079.036258,0.031256,"(2, 18.0)",0.1,201542.1496,35,7577156.8371,2,7,2,2,2,122032560000.0
19,47199300000.00001,4.719930000000001,19.0,4434.5947,820,4637.366746,0.057172,"(2, 19.0)",0.1,77566.4889,32,10068164.758299999,2,0,0,1,1,47199300000.00001
20,92071380000.0,9.207138,20.0,15757.867400000001,598,11193.368266,0.032083999999999994,"(1, 20.0)",0.4,491138.45840000006,84,13305012.888499998,1,0,0,1,1,92071380000.0
21,125119250000.0,12.511925,21.0,38225.5783,556,17844.298939,0.06842100000000001,"(1, 21.0)",0.4,558678.3779000001,282,9553621.9487,1,0,0,1,1,125119250000.0
22,123509710000.00002,12.350971000000001,22.0,17466.0187,737,17787.967651,0.034839,"(2, 22.0)",0.1,501330.7559000001,112,6555069.535700001,2,0,0,1,1,123509710000.00002
23,15036330000.0,1.503633,23.0,4655.151400000001,676,21585.483017,0.035782999999999995,"(2, 23.0)",0.1,130095.45679999999,35,7505710.144299999,2,15,8,2,2,151262110000.0
24,80261100000.00002,8.026110000000001,24.0,16672.6379,570,6649.772207999999,0.038583,"(1, 24.0)",0.4,432127.6425,102,12869023.103099998,1,0,0,1,1,80261100000.00002
25,118883149999.99998,11.888314999999999,25.0,10692.968799999999,591,16545.273477000002,0.019195,"(2, 25.0)",0.1,557063.0861,58,14300510.7724,2,0,0,1,1,118883149999.99998
26,132261160000.00002,13.226116000000001,26.0,15258.9783,599,18805.245265,0.036848,"(2, 26.0)",0.1,414106.3172,98,11276878.147799999,2,0,0,1,1,132261160000.00002
27,45199560000.0,4.519956,27.0,13997.113000000001,837,18308.344897,0.13788699999999998,"(1, 27.0)",0.4,101511.8069,88,7058906.3415,1,0,0,1,1,45199560000.0
28,63566459999.99999,6.356646,28.0,15852.938799999998,723,9238.573198999999,0.10291800000000001,"(2, 28.0)",0.1,154035.1453,117,7040874.226299999,2,0,0,1,1,63566459999.99999
29,79912720000.0,7.991272,29.0,14196.402,646,11433.027962999999,0.028735000000000004,"(2, 29.0)",0.1,494053.4847999999,101,13005942.2875,2,0,0,1,1,79912720000.0
30,116061220000.00002,11.606122000000001,30.0,44660.849,553,16620.564350999997,0.082812,"(2, 30.0)",0.1,539303.7742999999,393,5269874.4056,2,0,0,1,1,116061220000.00002
31,37402690000.0,3.740269,31.0,4381.488,584,5458.438125,0.035155,"(2, 31.0)",0.1,124632.09570000002,46,13928798.8913,2,0,0,1,1,37402690000.0
32,69300890000.0,6.930089,32.0,10896.002199999999,667,38339.615260000006,0.029488999999999998,"(1, 32.0)",0.4,369487.5992,80,9990598.269299999,1,19,13,2,2,244873360000.0
33,82630130000.00002,8.263013,33.0,16322.9858,616,20115.872095,0.035249,"(1, 33.0)",0.4,463076.4899,162,12106229.897799999,1,1,4,2,2,168305150000.0
34,72533910000.0,7.253391000000001,34.0,9559.5001,636,10469.177128,0.026378,"(2, 34.0)",0.1,362399.5638,69,13452379.3471,2,0,0,1,1,72533910000.0
35,9016220000.0,0.9016219999999999,35.0,1970.7885999999999,601,25818.797806,0.017249,"(2, 35.0)",0.1,114256.66119999999,42,7375614.687500001,2,23,18,4,3,282310890000.0
36,49338390000.0,4.933839,36.0,17011.8347,719,8111.503622,0.14657799999999999,"(1, 36.0)",0.4,116060.25039999999,169,7711022.8548,1,0,0,1,1,49338390000.0
37,61113820000.0,6.111382,37.0,20386.145,635,7912.5781480000005,0.161913,"(2, 37.0)",0.1,125907.905,198,6739819.662400001,2,0,0,1,1,61113820000.0
38,30218979999.999996,3.0218979999999998,38.0,2123.7183,648,4174.286878,0.033662,"(1, 38.0)",0.4,63089.41589999999,44,14196684.9659,1,0,0,1,1,30218979999.999996
39,29668530000.0,2.966853,39.0,2259.0576,639,3813.617229,0.025633999999999997,"(2, 39.0)",0.1,88127.4061,45,14136241.526099999,2,0,0,1,1,29668530000.0
40,33612250000.0,3.361225,40.0,5013.6475,614,4711.1791060000005,0.036498,"(2, 40.0)",0.1,137368.0366,58,13880815.7229,2,0,0,1,1,33612250000.0
41,50885220000.0,5.088522,41.0,3843.8109999999997,727,2794.816703,0.050991,"(1, 41.0)",0.4,75381.6136,50,12760949.684700001,1,0,0,1,1,50885220000.0
42,60159250000.0,6.015925,42.0,9544.164999999999,584,34647.238605,0.031399,"(2, 42.0)",0.1,303963.4917,88,7261358.0263,2,35,14,5,3,370048350000.0
43,68590179999.99999,6.859017999999999,43.0,9149.4568,677,23299.296604,0.044006,"(2, 43.0)",0.1,207915.515,98,11070687.3456,2,0,0,1,1,68590179999.99999
44,15078129999.999998,1.5078129999999998,44.0,200.53099999999998,579,24654.643189,0.002346,"(1, 44.0)",0.4,85481.4301,45,14133595.55,1,38,11,2,2,153296690000.0
45,62751240000.0,6.275124,45.0,2871.4905,531,19735.307524,0.008539,"(1, 45.0)",0.4,336273.5926,56,14048114.119900001,1,39,44,3,2,245716460000.0
46,36030050000.00001,3.6030050000000005,46.0,4583.67,563,5726.390639,0.010938,"(2, 46.0)",0.1,419043.77479999996,63,13804166.795599999,2,9,31,2,2,143534920000.0
47,43422800000.00001,4.342280000000001,47.0,2274.8169000000003,613,9359.978537,0.036321,"(2, 47.0)",0.1,62631.12990000001,50,12748199.2009,2,0,0,1,1,43422800000.00001
48,33856120000.0,3.385612,48.0,2402.6306,630,17455.52855,0.026338999999999998,"(1, 48.0)",0.4,91220.8784,56,13803061.4057,1,0,0,1,1,33856120000.0
49,101819210000.00002,10.181921,49.0,14222.701999999997,578,14084.732692,0.038556,"(2, 49.0)",0.1,368880.4223,180,10672146.9693,2,0,0,1,1,101819210000.00002
50,31438330000.000004,3.1438330000000003,50.0,6798.7427,529,52907.610727,0.018313999999999997,"(2, 50.0)",0.1,371230.13869999995,111,12685568.0711,2,47,41,2,2,125746350000.0
51,54327270000.0,5.432727,51.0,8911.0382,666,13508.566358000002,0.076779,"(2, 51.0)",0.1,116060.25039999999,129,10638731.9989,2,0,0,1,1,54327270000.0
52,43708470000.0,4.370847,52.0,7202.1149,651,3969.6949619999996,0.080481,"(2, 52.0)",0.1,89488.19050000001,112,6143226.970199999,2,0,0,1,1,43708470000.0
53,48119040000.0,4.811904,53.0,8720.3552,754,3717.539631,0.06326799999999999,"(2, 53.0)",0.1,137831.483,126,10664397.807599999,2,0,0,1,1,48119040000.0
54,40064360000.0,4.006436,54.0,6625.8728,551,674.218996,0.032844,"(2, 54.0)",0.1,201739.36039999998,105,12639984.3977,2,0,0,1,1,40064360000.0
55,112890910000.00002,11.289091,55.0,6993.335,520,14310.353584,0.013947999999999999,"(1, 55.0)",0.4,501384.2996,115,12784159.639800001,1,0,0,1,1,112890910000.00002
56,119029470000.0,11.902947,56.0,2993.8202,549,55106.39621,0.005515,"(1, 56.0)",0.4,542836.7675000001,70,13711840.5273,1,48,45,4,2,398602050000.0
58,96258980000.0,9.625898,58.0,1444.1680999999999,507,43436.918244,0.00403,"(2, 58.0)",0.1,358324.6655,63,13743447.686300002,2,40,25,2,2,248754380000.0
59,48495290000.00001,4.849529,59.0,8062.1735,718,6811.412628,0.070676,"(2, 59.0)",0.1,114071.6477,129,10636743.3962,2,0,0,1,1,48495290000.00001
61,26581830000.0,2.658183,61.0,4325.3326,696,2388.145277,0.066926,"(2, 61.0)",0.1,64628.64599999999,89,11827755.645399999,2,0,0,1,1,26581830000.0
63,116918250000.0,11.691825,63.0,751.6478999999999,502,88523.650957,0.002943,"(2, 63.0)",0.1,255359.5931,68,13385123.0208,2,46,58,4,3,509207550000.0
64,100920380000.0,10.092038,64.0,7365.615799999999,490,10468.489324,0.016431,"(1, 64.0)",0.4,448269.7859000001,157,12233619.7362,1,0,0,1,1,100920380000.0
66,76568220000.0,7.656822,66.0,30841.0095,505,10952.255019,0.088251,"(2, 66.0)",0.1,349471.1034,344,5502518.464299999,2,0,0,1,1,76568220000.0
67,47631300000.0,4.76313,67.0,2468.4967,573,4685.770145,0.019369,"(2, 67.0)",0.1,127449.0116,85,12909448.222000001,2,0,0,1,1,47631300000.0
68,1442320000.0,0.144232,68.0,641.0095,486,90397.597223,0.016112,"(2, 68.0)",0.1,39783.6445,69,13129763.427799998,2,5,63,5,3,634626410000.0
69,60793310000.0,6.079331,69.0,1677.0813,549,109591.545324,0.005445,"(2, 69.0)",0.1,307980.57289999997,85,13089979.7833,2,34,68,6,3,767953630000.0
