# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-12-01 20:07:14 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11475800 SF EEL R A LEGGETT CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11475800
#            TS   parameter     statistic     Description
#         11705       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	11705_00060_00003	11705_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11475800	1965-10-01	20	A
USGS	11475800	1965-10-02	20	A
USGS	11475800	1965-10-03	20	A
USGS	11475800	1965-10-04	20	A
USGS	11475800	1965-10-05	32	A
USGS	11475800	1965-10-06	30	A
USGS	11475800	1965-10-07	28	A
USGS	11475800	1965-10-08	27	A
USGS	11475800	1965-10-09	26	A
USGS	11475800	1965-10-10	25	A
USGS	11475800	1965-10-11	24	A
USGS	11475800	1965-10-12	24	A
USGS	11475800	1965-10-13	23	A
USGS	11475800	1965-10-14	28	A
USGS	11475800	1965-10-15	30	A
USGS	11475800	1965-10-16	29	A
USGS	11475800	1965-10-17	28	A
USGS	11475800	1965-10-18	29	A
USGS	11475800	1965-10-19	28	A
USGS	11475800	1965-10-20	27	A
USGS	11475800	1965-10-21	26	A
USGS	11475800	1965-10-22	26	A
USGS	11475800	1965-10-23	26	A
USGS	11475800	1965-10-24	26	A
USGS	11475800	1965-10-25	25	A
USGS	11475800	1965-10-26	24	A
USGS	11475800	1965-10-27	23	A
USGS	11475800	1965-10-28	22	A
USGS	11475800	1965-10-29	22	A
USGS	11475800	1965-10-30	22	A
USGS	11475800	1965-10-31	22	A
USGS	11475800	1965-11-01	22	A
USGS	11475800	1965-11-02	22	A
USGS	11475800	1965-11-03	30	A
USGS	11475800	1965-11-04	49	A
USGS	11475800	1965-11-05	57	A
USGS	11475800	1965-11-06	52	A
USGS	11475800	1965-11-07	58	A
USGS	11475800	1965-11-08	100	A
USGS	11475800	1965-11-09	135	A
USGS	11475800	1965-11-10	90	A
USGS	11475800	1965-11-11	78	A
USGS	11475800	1965-11-12	96	A
USGS	11475800	1965-11-13	230	A
USGS	11475800	1965-11-14	490	A
USGS	11475800	1965-11-15	340	A
USGS	11475800	1965-11-16	260	A
USGS	11475800	1965-11-17	215	A
USGS	11475800	1965-11-18	860	A
USGS	11475800	1965-11-19	1040	A
USGS	11475800	1965-11-20	400	A
USGS	11475800	1965-11-21	300	A
USGS	11475800	1965-11-22	250	A
USGS	11475800	1965-11-23	240	A
USGS	11475800	1965-11-24	1450	A
USGS	11475800	1965-11-25	2000	A
USGS	11475800	1965-11-26	1500	A
USGS	11475800	1965-11-27	1200	A
USGS	11475800	1965-11-28	600	A
USGS	11475800	1965-11-29	475	A
USGS	11475800	1965-11-30	415	A
USGS	11475800	1965-12-01	350	A
USGS	11475800	1965-12-02	295	A
USGS	11475800	1965-12-03	266	A
USGS	11475800	1965-12-04	236	A
USGS	11475800	1965-12-05	212	A
USGS	11475800	1965-12-06	190	A
USGS	11475800	1965-12-07	174	A
USGS	11475800	1965-12-08	161	A
USGS	11475800	1965-12-09	150	A
USGS	11475800	1965-12-10	139	A
USGS	11475800	1965-12-11	131	A
USGS	11475800	1965-12-12	131	A
USGS	11475800	1965-12-13	123	A
USGS	11475800	1965-12-14	114	A
USGS	11475800	1965-12-15	108	A
USGS	11475800	1965-12-16	101	A
USGS	11475800	1965-12-17	97	A
USGS	11475800	1965-12-18	94	A
USGS	11475800	1965-12-19	90	A
