cat,stream,next_stream,prev_str01,prev_str02,strahler,horton,shreve,hack,topo_dim,scheidegger,drwal_old,length,stright,sinosoid,cum_length,flow_accum,out_dist,source_elev,outlet_elev,elev_drop,out_drop,gradient
1,1,62,0,0,1,1,1,2,3,2,1,14585.281374,9626.006441,1.515195,14585.281374,15259.735033,21619.343418,645.380027,236.725906,409.046597,0.392476,0.028045
1,1,62,0,0,1,1,1,2,3,2,1,14585.281374,9626.006441,1.515195,14585.281374,15259.735033,21619.343418,645.380027,236.725906,409.046597,0.392476,0.028045
2,2,19,0,0,1,1,1,3,14,2,1,4512.7417,3184.729188,1.416994,4512.7417,5587.789881,52652.900398,587.411184,484.790626,104.761534,2.140977,0.023215
2,2,19,0,0,1,1,1,3,14,2,1,4512.7417,3184.729188,1.416994,4512.7417,5587.789881,52652.900398,587.411184,484.790626,104.761534,2.140977,0.023215
3,3,27,0,0,1,2,1,2,10,2,1,3929.898987,2804.014979,1.401526,3929.898987,7853.744222,29884.166645,586.269529,458.689024,126.778984,-0.801522,0.03226
3,3,27,0,0,1,2,1,2,10,2,1,3929.898987,2804.014979,1.401526,3929.898987,7853.744222,29884.166645,586.269529,458.689024,126.778984,-0.801522,0.03226
4,4,22,0,0,1,1,1,2,14,2,1,4624.873734,3735.304539,1.238152,4624.873734,4127.114056,53222.139213,586.055002,479.416229,107.234492,0.595719,0.023186
4,4,22,0,0,1,1,1,2,14,2,1,4624.873734,3735.304539,1.238152,4624.873734,4127.114056,53222.139213,586.055002,479.416229,107.234492,0.595719,0.023186
5,5,22,0,0,1,3,1,1,14,2,1,11789.696962,8874.260533,1.328527,11789.696962,20769.206176,60386.962441,579.995962,478.21145,101.175452,-0.60906,0.008582
5,5,22,0,0,1,3,1,1,14,2,1,11789.696962,8874.260533,1.328527,11789.696962,20769.206176,60386.962441,579.995962,478.21145,101.175452,-0.60906,0.008582
6,6,17,0,0,1,2,1,2,15,2,1,8408.326112,3421.257079,2.457672,8408.326112,10915.787859,59012.698372,579.68269,491.590682,88.157665,0.065656,0.010485
6,6,17,0,0,1,2,1,2,15,2,1,8408.326112,3421.257079,2.457672,8408.326112,10915.787859,59012.698372,579.68269,491.590682,88.157665,0.065656,0.010485
7,7,48,0,0,1,1,1,2,8,2,1,4562.7417,4079.828428,1.118366,4562.7417,3910.657251,38488.939367,578.427358,414.433132,168.257826,4.2636,0.036876
7,7,48,0,0,1,1,1,2,8,2,1,4562.7417,4079.828428,1.118366,4562.7417,3910.657251,38488.939367,578.427358,414.433132,168.257826,4.2636,0.036876
8,8,41,0,0,1,1,1,3,9,2,1,3155.634919,2797.320146,1.128092,3155.634919,5724.904399,26574.978336,568.246909,431.590251,138.542189,1.885531,0.043903
8,8,41,0,0,1,1,1,3,9,2,1,3155.634919,2797.320146,1.128092,3155.634919,5724.904399,26574.978336,568.246909,431.590251,138.542189,1.885531,0.043903
9,9,17,0,0,1,1,1,3,15,2,1,5290.559159,4196.724914,1.26064,5290.559159,4071.465622,55894.931419,562.276033,491.902,70.751007,0.376974,0.013373
9,9,17,0,0,1,1,1,3,15,2,1,5290.559159,4196.724914,1.26064,5290.559159,4071.465622,55894.931419,562.276033,491.902,70.751007,0.376974,0.013373
10,10,36,0,0,1,1,1,3,10,2,1,2393.502884,2030.39405,1.178837,2393.502884,2700.160574,40288.939367,534.511654,445.188868,96.960255,7.637469,0.04051
10,10,36,0,0,1,1,1,3,10,2,1,2393.502884,2030.39405,1.178837,2393.502884,2700.160574,40288.939367,534.511654,445.188868,96.960255,7.637469,0.04051
11,11,21,0,0,1,1,1,3,13,2,1,2802.081528,2418.677324,1.158518,2802.081528,2906.285446,50530.108191,531.949512,484.665854,51.788785,4.505128,0.018482
11,11,21,0,0,1,1,1,3,13,2,1,2802.081528,2418.677324,1.158518,2802.081528,2906.285446,50530.108191,531.949512,484.665854,51.788785,4.505128,0.018482
12,12,61,0,0,1,1,1,2,4,2,1,4719.848481,3481.738072,1.355601,4719.848481,4301.542665,12486.753237,528.344941,237.699,291.313372,0.667431,0.061721
12,12,61,0,0,1,1,1,2,4,2,1,4719.848481,3481.738072,1.355601,4719.848481,4301.542665,12486.753237,528.344941,237.699,291.313372,0.667431,0.061721
13,13,25,0,0,1,1,1,2,13,2,1,3021.320344,2765.863337,1.092361,3021.320344,3589.745186,48297.265479,526.075664,464.459326,63.656089,2.039751,0.021069
13,13,25,0,0,1,1,1,2,13,2,1,3021.320344,2765.863337,1.092361,3021.320344,3589.745186,48297.265479,526.075664,464.459326,63.656089,2.039751,0.021069
14,14,31,0,0,1,1,1,2,12,2,1,3076.345597,2390.083681,1.287129,3076.345597,3392.770015,44825.945135,525.683479,449.685018,76.985289,0.986828,0.025025
14,14,31,0,0,1,1,1,2,12,2,1,3076.345597,2390.083681,1.287129,3076.345597,3392.770015,44825.945135,525.683479,449.685018,76.985289,0.986828,0.025025
15,15,32,0,0,1,1,1,3,11,2,1,3588.477631,2735.415873,1.311858,3588.477631,3856.28866,44051.681067,517.990107,446.011084,72.407582,0.428558,0.020178
15,15,32,0,0,1,1,1,3,11,2,1,3588.477631,2735.415873,1.311858,3588.477631,3856.28866,44051.681067,517.990107,446.011084,72.407582,0.428558,0.020178
16,16,27,0,0,1,1,1,3,10,2,1,1294.974747,1151.086443,1.125002,1294.974747,2671.581915,27249.242405,496.026957,459.654045,36.536411,0.163499,0.028214
16,16,27,0,0,1,1,1,3,10,2,1,1294.974747,1151.086443,1.125002,1294.974747,2671.581915,27249.242405,496.026957,459.654045,36.536411,0.163499,0.028214
17,17,19,9,6,2,2,2,2,14,4,2,2464.213562,2159.282288,1.141219,10872.539674,19393.908382,50604.37226,491.525026,484.754921,8.875376,2.105271,0.003602
17,17,19,9,6,2,2,2,2,14,4,2,2464.213562,2159.282288,1.141219,10872.539674,19393.908382,50604.37226,491.525026,484.754921,8.875376,2.105271,0.003602
18,18,30,0,0,1,1,1,3,12,2,1,2697.056275,2210.203611,1.220275,2697.056275,3808.164457,44933.051917,488.708156,451.027448,38.063409,0.382701,0.014113
18,18,30,0,0,1,1,1,3,12,2,1,2697.056275,2210.203611,1.220275,2697.056275,3808.164457,44933.051917,488.708156,451.027448,38.063409,0.382701,0.014113
19,19,21,2,17,2,2,3,2,13,6,2,412.132034,364.005494,1.132214,11284.671709,27903.155234,48140.158698,482.64965,477.465474,2.488923,-2.695253,0.006039
